state,district,subdivision,block,place,place_type,pincode
West Bengal,Cooch Behar,Cooch Behar Sadar,Cooch Behar I,Cooch Behar Town,town,736101
West Bengal,Cooch Behar,Cooch Behar Sadar,Cooch Behar II,Khagrabari,locality,736179
West Bengal,Cooch Behar,Cooch Behar Sadar,Cooch Behar II,Mahishbathan,village,736179
West Bengal,Cooch Behar,Cooch Behar Sadar,Cooch Behar I,Pilkhana,locality,736101
West Bengal,Cooch Behar,Tufanganj,Tufanganj I,Tufanganj,town,736159
West Bengal,Cooch Behar,Dinhata,Dinhata I,Dinhata,town,736135
